Marca,Título do Produto,URL do Produto,Descrição HTML,Tags,Título da Variante,SKU,Preço (€),Caminhos das Imagens Locais
CAMO,CAMO SPICY CITRUS STRONG 16MG,https://snusmart.com/products/camo-spicy-citrus-strong,,,Default Title,4779056490566,3.19,/home/ubuntu/snusmart_data/images/camo-spicy-citrus-strong_78427763933510.jpg
CAMO,CAMO ICE COLD MINT X-STRONG 33.5MG,https://snusmart.com/products/camo-ice-cold-mint-x-strong,,,Default Title,4779056490542,3.19,/home/ubuntu/snusmart_data/images/camo-ice-cold-mint-x-strong_78427941339462.jpg
CAMO,CAMO ENERGY ICED MOCHA,https://snusmart.com/products/camo-energy-iced-mocha,,NICOTINE FREE,Default Title,4779056490672,3.19,/home/ubuntu/snusmart_data/images/camo-energy-iced-mocha_78427820228934.jpg
CAMO,CAMO SPICY CITRUS X-STRONG 33.5MG,https://snusmart.com/products/camo-spicy-citrus-x-strong,,,Default Title,4779056490573,3.19,/home/ubuntu/snusmart_data/images/camo-spicy-citrus-x-strong_78428033057094.jpg
CAMO,CAMO PEPPERMINT STRONG 16MG,https://snusmart.com/products/camo-peppermint-strong,,,Default Title,4779056490504,3.19,/home/ubuntu/snusmart_data/images/camo-peppermint-strong_78427920236870.jpg
CAMO,CAMO ENERGY CREAMY LATTE,https://snusmart.com/products/camo-energy-creamy-latte,,NICOTINE FREE,Default Title,4779056491167,3.19,/home/ubuntu/snusmart_data/images/camo-energy-creamy-latte_78427866628422.jpg
CAMO,CAMO WILD MINT X-STRONG 33.5MG,https://snusmart.com/products/camo-wild-mint-x-strong,,,Default Title,4779056490481,3.19,/home/ubuntu/snusmart_data/images/camo-wild-mint-x-strong_78427733721414.jpg
CAMO,CAMO PEPPERMINT X-STRONG 33.5MG,https://snusmart.com/products/camo-peppermint-x-strong,,,Default Title,4779056490511,3.19,/home/ubuntu/snusmart_data/images/camo-peppermint-x-strong_78427901428038.jpg
CAMO,CAMO GRAPE LIMITED EDITION,https://snusmart.com/products/camo-grape-limited-edition,,,Default Title,4779056490313,3.19,/home/ubuntu/snusmart_data/images/camo-grape-limited-edition_81886278615366.jpg
CAMO,CAMO MANGO MELON BERRIES LIMITED EDITION,https://snusmart.com/products/camo-mango-melon-berries-limited-edition,,,Default Title,4779056490436,3.19,/home/ubuntu/snusmart_data/images/camo-mango-melon-berries-limited-edition_81885933797702.jpg
CAMO,CAMO GREEN APPLE STRONG 16MG,https://snusmart.com/products/camo-green-apple-strong,,APPLE,Default Title,4779056490597,3.19,/home/ubuntu/snusmart_data/images/camo-green-apple-strong_78427983020358.jpg
CLEW,CLEW Blueberry 20mg,https://snusmart.com/products/clew-blueberry-20mg,,"BERRIES, BLUEBERRY, STRONG",Default Title,8906181780668,3.69,/home/ubuntu/snusmart_data/images/clew-blueberry-20mg_77537995358534.jpg
CLEW,CLEW Watermelon 20mg,https://snusmart.com/products/clew-watermelon-20mg,,"STRONG, WATERMELON",Default Title,8906181780361,3.69,/home/ubuntu/snusmart_data/images/clew-watermelon-20mg_77538013315398.jpg
CLEW,CLEW Cool Mint 20mg,https://snusmart.com/products/clew-cool-mint-20mg,,"MINT, STRONG",Default Title,8906181780453,3.69,/home/ubuntu/snusmart_data/images/clew-cool-mint-20mg_77800548270406.jpg
CLEW,CLEW Blueberry 10mg,https://snusmart.com/products/clew-blueberry-10mg,,"BERRIES, BLUEBERRY, MEDIUM",Default Title,8906181780644,3.69,/home/ubuntu/snusmart_data/images/clew-blueberry-10mg_77800557084998.jpg
CLEW,CLEW Menthol 20mg,https://snusmart.com/products/clew-menthol-20mg,,"MINT, STRONG",Default Title,8906181782549,3.69,/home/ubuntu/snusmart_data/images/clew-menthol-20mg_77800533721414.jpg
CLEW,CLEW Cool Mint 10mg,https://snusmart.com/products/clew-cool-mint-10mg,,"MEDIUM, MINT",Default Title,8906181780439,3.69,/home/ubuntu/snusmart_data/images/clew-cool-mint-10mg_77537934934342.jpg
CLEW,CLEW Wintergreen 10mg,https://snusmart.com/products/clew-wintergreen-10mg,,"MEDIUM, MINT",Default Title,8906181782556,3.69,/home/ubuntu/snusmart_data/images/clew-wintergreen-10mg_77800516911430.jpg
CLEW,CLEW Menthol 10mg,https://snusmart.com/products/clew-menthol-10mg,,"MEDIUM, MINT",Default Title,8906181782525,3.69,/home/ubuntu/snusmart_data/images/clew-menthol-10mg_77537886568774.jpg
